HourOfYear,FarmLoad_kWh,,,,
1,38.88,,,,
2,28.525,,,,
3,41.095,,,,
4,28.65,,,,250000
5,39.715,,,,
6,28.815,,,,
7,28.71,,,,
8,28.64,,,,
9,28.88,,,,
10,40.17,,,,
11,35.035,,,,
12,40.495,,,,
13,34.53,,,,
14,42.135,,,,
15,33.545,,,,
16,40.605,,,,
17,29.745,,,,
18,35.655,,,,
19,29.235,,,,
20,34.97,,,,
21,29.57,,,,
22,29.81,,,,
23,35.215,,,,
24,29.88,,,,
25,37.275,,,,
26,30.095,,,,
27,45.665,,,,
28,29.605,,,,
29,38.21,,,,
30,29.69,,,,
31,29.66,,,,
32,29.695,,,,
33,35.355,,,,
34,46.745,,,,
35,36.62,,,,
36,41.89,,,,
37,35.045,,,,
38,50.495,,,,
39,36.19,,,,
40,39.79,,,,
41,31.15,,,,
42,42.31,,,,
43,32.065,,,,
44,37.54,,,,
45,28.885,,,,
46,28.805,,,,
47,35.785,,,,
48,30.635,,,,
49,37.145,,,,
50,30.815,,,,
51,38.105,,,,
52,30.54,,,,
53,37.77,,,,
54,30.615,,,,
55,30.585,,,,
56,29.895,,,,
57,32.04,,,,
58,45.965,,,,
59,36.375,,,,
60,41.85,,,,
61,33.86,,,,
62,45.515,,,,
63,25.26,,,,
64,34.235,,,,
65,26.8,,,,
66,37.19,,,,
67,26.51,,,,
68,35.755,,,,
69,25.81,,,,
70,25.285,,,,
71,35.87,,,,
72,25.165,,,,
73,31.545,,,,
74,25.565,,,,
75,34.165,,,,
76,25.26,,,,
77,31.745,,,,
78,25.28,,,,
79,25.375,,,,
80,25.355,,,,
81,31.335,,,,
82,41.895,,,,
83,36.06,,,,
84,41.775,,,,
85,37.215,,,,
86,45.055,,,,
87,37.13,,,,
88,40.205,,,,
89,37.615,,,,
90,38.79,,,,
91,32.205,,,,
92,38.52,,,,
93,28.785,,,,
94,29.005,,,,
95,36.95,,,,
96,30.535,,,,
97,36.075,,,,
98,30.8,,,,
99,37.25,,,,
100,30.6,,,,
101,36.34,,,,
102,30.565,,,,
103,30.75,,,,
104,30.655,,,,
105,34.505,,,,
106,36.825,,,,
107,28.845,,,,
108,34.525,,,,
109,34.2,,,,
110,39.345,,,,
111,33.325,,,,
112,38.195,,,,
113,33.66,,,,
114,38.095,,,,
115,35.285,,,,
116,34.42,,,,
117,28.895,,,,
118,28.8,,,,
119,34.715,,,,
120,28.755,,,,
121,37.115,,,,
122,28.945,,,,
123,44.79,,,,
124,28.75,,,,
125,34.93,,,,
126,28.965,,,,
127,28.915,,,,
128,29.03,,,,
129,32.645,,,,
130,47.875,,,,
131,29.8,,,,
132,46.975,,,,
133,31.225,,,,
134,42.76,,,,
135,32.925,,,,
136,40.875,,,,
137,33.49,,,,
138,39.685,,,,
139,28.12,,,,
140,39.33,,,,
141,25.81,,,,
142,25.72,,,,
143,36.235,,,,
144,25.15,,,,
145,35,,,,
146,25.355,,,,
147,37.635,,,,
148,25.18,,,,
149,33.995,,,,
150,25.405,,,,
151,25.405,,,,
152,25.445,,,,
153,27.335,,,,
154,39.925,,,,
155,31.035,,,,
156,42.29,,,,
157,31.985,,,,
158,40.435,,,,
159,30.99,,,,
160,40.93,,,,
161,30.5,,,,
162,33.015,,,,
163,27.035,,,,
164,35.4,,,,
165,26.27,,,,
166,25.89,,,,
167,33.745,,,,
168,25.73,,,,
169,35.15,,,,
170,26.145,,,,
171,37.97,,,,
172,26.105,,,,
173,33.52,,,,
174,26.56,,,,
175,26.32,,,,
176,26.365,,,,
177,25.92,,,,
178,34.96,,,,
179,30.295,,,,
180,32.87,,,,
181,26.08,,,,
182,37.355,,,,
183,29.37,,,,
184,36.625,,,,
185,23.95,,,,
186,29.775,,,,
187,23.17,,,,
188,33.395,,,,
189,23.085,,,,
190,23.16,,,,
191,33.38,,,,
192,23.355,,,,
193,33.98,,,,
194,23.57,,,,
195,36.925,,,,
196,23.41,,,,
197,36.64,,,,
198,23.56,,,,
199,23.44,,,,
200,23.58,,,,
201,23.72,,,,
202,29.465,,,,
203,20.985,,,,
204,24.135,,,,
205,16.82,,,,
206,37.02,,,,
207,21.25,,,,
208,35.81,,,,
209,24.82,,,,
210,36.695,,,,
211,22.955,,,,
212,29.785,,,,
213,22.71,,,,
214,22.85,,,,
215,33.325,,,,
216,23.095,,,,
217,32.385,,,,
218,23.39,,,,
219,35.27,,,,
220,23.005,,,,
221,31.185,,,,
222,23.285,,,,
223,23.34,,,,
224,23.28,,,,
225,23.685,,,,
226,30.135,,,,
227,19.055,,,,
228,23.745,,,,
229,16.555,,,,
230,26.79,,,,
231,20.235,,,,
232,37.775,,,,
233,28.91,,,,
234,31.73,,,,
235,27.085,,,,
236,36.385,,,,
237,24.92,,,,
238,23.4,,,,
239,30.675,,,,
240,23.395,,,,
241,33.695,,,,
242,26.07,,,,
243,40.795,,,,
244,25.64,,,,
245,35.67,,,,
246,25.815,,,,
247,25.795,,,,
248,25.955,,,,
249,24.645,,,,
250,28.01,,,,
251,19.15,,,,
252,24.06,,,,
253,20.62,,,,
254,33.915,,,,
255,24.125,,,,
256,31.01,,,,
257,24.925,,,,
258,33.075,,,,
259,26.685,,,,
260,33.7,,,,
261,26.385,,,,
262,26.09,,,,
263,40.415,,,,
264,27.755,,,,
265,34.76,,,,
266,26.41,,,,
267,35.58,,,,
268,26.04,,,,
269,39.4,,,,
270,26.14,,,,
271,26.06,,,,
272,26.125,,,,
273,26.275,,,,
274,38.62,,,,
275,32.26,,,,
276,40.01,,,,
277,32.55,,,,
278,39.51,,,,
279,32.075,,,,
280,40.705,,,,
281,29.62,,,,
282,31.49,,,,
283,26.24,,,,
284,33.94,,,,
285,27.765,,,,
286,29.045,,,,
287,34.92,,,,
288,29,,,,
289,35.865,,,,
290,29.23,,,,
291,37.1,,,,
292,29.175,,,,
293,34.82,,,,
294,29.18,,,,
295,28.33,,,,
296,26.77,,,,
297,27.165,,,,
298,40.615,,,,
299,32.99,,,,
300,40.505,,,,
301,32.02,,,,
302,42.335,,,,
303,31.295,,,,
304,32.14,,,,
305,26.735,,,,
306,30.875,,,,
307,25.82,,,,
308,31.865,,,,
309,25.78,,,,
310,25.615,,,,
311,32.185,,,,
312,25.35,,,,
313,34.395,,,,
314,25.77,,,,
315,40.04,,,,
316,25.465,,,,
317,33.035,,,,
318,25.715,,,,
319,25.755,,,,
320,25.63,,,,
321,25.68,,,,
322,33.32,,,,
