HourOfYear,PV_kWh_per_kWp,,
1,0,0,
2,0,0,406.08
3,0,0,
4,0,0,
5,0,0,
6,0,0,
7,0,0,
8,0,0,
9,0,0,
10,0.01436425,5.7457,
11,0.04581,18.324,
12,0.0752825,30.113,
13,0.1112425,44.497,
14,0.0691725,27.669,
15,0.0664325,26.573,
16,0.0347175,13.887,
17,0,0,
18,0,0,
19,0,0,
20,0,0,
21,0,0,
22,0,0,
23,0,0,
24,0,0,
25,0,0,
26,0,0,
27,0,0,
28,0,0,
29,0,0,
30,0,0,
31,0,0,
32,0,0,
33,0,0,
34,0.01504225,6.0169,
35,0.03496,13.984,
36,0.047085,18.834,
37,0.0359925,14.397,
38,0.045385,18.154,
39,0.039265,15.706,
40,0.0160385,6.4154,
41,0,0,
42,0,0,
43,0,0,
44,0,0,
45,0,0,
46,0,0,
47,0,0,
48,0,0,
49,0,0,
50,0,0,
51,0,0,
52,0,0,
53,0,0,
54,0,0,
55,0,0,
56,0,0,
57,0,0,
58,0.01321225,5.2849,
59,0.019206,7.6824,
60,0.0173555,6.9422,
61,0.0404575,16.183,
62,0.04468,17.872,
63,0.0487825,19.513,
64,0.0326075,13.043,
65,0,0,
66,0,0,
67,0,0,
68,0,0,
69,0,0,
70,0,0,
71,0,0,
72,0,0,
73,0,0,
74,0,0,
75,0,0,
76,0,0,
77,0,0,
78,0,0,
79,0,0,
80,0,0,
81,0,0,
82,0.0113305,4.5322,
83,0.01736025,6.9441,
84,0.031125,12.45,
85,0.0441175,17.647,
86,0.0336825,13.473,
87,0.0361125,14.445,
88,0.01028525,4.1141,
89,0,0,
90,0,0,
91,0,0,
92,0,0,
93,0,0,
94,0,0,
95,0,0,
96,0,0,
97,0,0,
98,0,0,
99,0,0,
100,0,0,
101,0,0,
102,0,0,
103,0,0,
104,0,0,
105,0,0,
106,0.018037,7.2148,
107,0.0264225,10.569,
108,0.05551,22.204,
109,0.0784725,31.389,
110,0.065565,26.226,
111,0.0552275,22.091,
112,0.0273925,10.957,
113,0,0,
114,0,0,
115,0,0,
116,0,0,
117,0,0,
118,0,0,
119,0,0,
120,0,0,
121,0,0,
122,0,0,
123,0,0,
124,0,0,
125,0,0,
126,0,0,
127,0,0,
128,0,0,
129,0,0,
130,0.00645925,2.5837,
131,0.0266775,10.671,
132,0.04407,17.628,
133,0.051845,20.738,
134,0.043995,17.598,
135,0.0300875,12.035,
136,0.01716425,6.8657,
137,0,0,
138,0,0,
139,0,0,
140,0,0,
141,0,0,
142,0,0,
143,0,0,
144,0,0,
145,0,0,
146,0,0,
147,0,0,
148,0,0,
149,0,0,
150,0,0,
151,0,0,
152,0,0,
153,0,0,
154,0.030865,12.346,
155,0.06461,25.844,
156,0.0958275,38.331,
157,0.0936125,37.445,
158,0.077385,30.954,
159,0.042485,16.994,
160,0.0296625,11.865,
161,0,0,
162,0,0,
163,0,0,
164,0,0,
165,0,0,
166,0,0,
167,0,0,
168,0,0,
169,0,0,
170,0,0,
171,0,0,
172,0,0,
173,0,0,
174,0,0,
175,0,0,
176,0,0,
177,0,0,
178,0.055955,22.382,
179,0.105245,42.098,
180,0.1553375,62.135,
181,0.1702575,68.103,
182,0.1376775,55.071,
183,0.1158325,46.333,
184,0.06123,24.492,
185,0,0,
186,0,0,
187,0,0,
188,0,0,
189,0,0,
190,0,0,
191,0,0,
192,0,0,
193,0,0,
194,0,0,
195,0,0,
196,0,0,
197,0,0,
198,0,0,
199,0,0,
200,0,0,
201,0,0,
202,0.066255,26.502,
203,0.12415,49.66,
204,0.1462025,58.481,
205,0.1523725,60.949,
206,0.1289225,51.569,
207,0.12456,49.824,
208,0.0678,27.12,
209,0,0,
210,0,0,
211,0,0,
212,0,0,
213,0,0,
214,0,0,
215,0,0,
216,0,0,
217,0,0,
218,0,0,
219,0,0,
220,0,0,
221,0,0,
222,0,0,
223,0,0,
224,0,0,
225,0,0,
226,0.0196925,7.877,
227,0.04395,17.58,
228,0.08885,35.54,
229,0.1704775,68.191,
230,0.1642425,65.697,
231,0.12523,50.092,
232,0.0583,23.32,
233,0,0,
234,0,0,
235,0,0,
236,0,0,
237,0,0,
238,0,0,
239,0,0,
240,0,0,
241,0,0,
242,0,0,
243,0,0,
244,0,0,
245,0,0,
246,0,0,
247,0,0,
248,0,0,
249,0,0,
250,0.01208025,4.8321,
251,0.0366075,14.643,
252,0.0519775,20.791,
253,0.043425,17.37,
254,0.041625,16.65,
255,0.03384,13.536,
256,0.028865,11.546,
257,0,0,
258,0,0,
259,0,0,
260,0,0,
261,0,0,
262,0,0,
263,0,0,
264,0,0,
265,0,0,
266,0,0,
267,0,0,
268,0,0,
269,0,0,
270,0,0,
271,0,0,
272,0,0,
273,0,0,
274,0.01485425,5.9417,
275,0.012171,4.8684,
276,0.0254525,10.181,
277,0.03652,14.608,
278,0.03308,13.232,
279,0.04314,17.256,
280,0.01571825,6.2873,
281,-0.00035425,-0.1417,
282,0,0,
283,0,0,
284,0,0,
285,0,0,
286,0,0,
287,0,0,
288,0,0,
289,0,0,
290,0,0,
291,0,0,
292,0,0,
293,0,0,
294,0,0,
295,0,0,
296,0,0,
297,0,0,
298,0.01738775,6.9551,
299,0.0348175,13.927,
